Title,Streaming On,Price,imdb_id
The Shawshank Redemption,Max,Subscription,tt0111161
The Shawshank Redemption,Apple TV,Subscription,tt0111161
The Dark Knight,Max,Subscription,tt0468569
The Dark Knight,Google Play Movies & TV,Subscription,tt0468569
The Dark Knight,Apple TV,Subscription,tt0468569
12 Angry Men,Apple TV,"From  25.000,00",tt0050083
The Lord Of The Rings: The Return Of The King,Max,Subscription,tt0167260
The Lord Of The Rings: The Return Of The King,Amazon Prime Video,Subscription,tt0167260
The Lord Of The Rings: The Return Of The King,Apple TV,Subscription,tt0167260
The Lord Of The Rings: The Return Of The King,Google Play Movies & TV,Subscription,tt0167260
Schindler'S List,Amazon Prime Video,Subscription,tt0108052
"The Good, The Bad And The Ugly",Apple TV,"From  25.000,00",tt0060196
Forrest Gump,Apple TV,"From  25.000,00",tt0109830
The Lord Of The Rings: The Two Towers,Max,Subscription,tt0167261
The Lord Of The Rings: The Two Towers,Amazon Prime Video,Subscription,tt0167261
The Lord Of The Rings: The Two Towers,Apple TV,Subscription,tt0167261
The Lord Of The Rings: The Two Towers,Google Play Movies & TV,Subscription,tt0167261
Fight Club,Not Available,Not Available,Not Available
Star Wars: Episode V - The Empire Strikes Back,Not Available,Not Available,Not Available
Goodfellas,Netflix,Subscription,tt0099685
Goodfellas,Max,Subscription,tt0099685
Goodfellas,Google Play Movies & TV,Subscription,tt0099685
Goodfellas,Apple TV,Subscription,tt0099685
One Flew Over The Cuckoo'S Nest,Not Available,Not Available,Not Available
Interstellar,Max,Subscription,tt0816692
Interstellar,Apple TV,Subscription,tt0816692
Interstellar,Google Play Movies & TV,Subscription,tt0816692
Seven,Netflix,Subscription,tt0114369
Seven,Max,Subscription,tt0114369
Seven,Apple TV,Subscription,tt0114369
It'S A Wonderful Life,Not Available,Not Available,Not Available
Seven Samurai,Not Available,Not Available,Not Available
Saving Private Ryan,Netflix,Subscription,tt0120815
Saving Private Ryan,Google Play Movies & TV,Subscription,tt0120815
City Of God,Not Available,Not Available,Not Available
The Green Mile,Netflix,Subscription,tt0120689
The Green Mile,Apple TV,Subscription,tt0120689
The Green Mile,Google Play Movies & TV,Subscription,tt0120689
Life Is Beautiful,Not Available,Not Available,Not Available
Terminator 2: Judgment Day,Apple TV,"From  25.000,00",tt0103064
Star Wars: Episode Iv - A New Hope,Not Available,Not Available,Not Available
Back To The Future,Amazon Prime Video,Subscription,tt0088763
Spirited Away,Netflix,Subscription,tt0245429
The Pianist,Not Available,Not Available,Not Available
Psycho,Not Available,Not Available,Not Available
The Lion King,Not Available,Not Available,Not Available
The Departed,Apple TV,"From  25.000,00",tt0407887
The Departed,Google Play Movies & TV,"From  25.000,00",tt0407887
Spider-Man: Across The Spider-Verse,Netflix,Subscription,tt9362722
Spider-Man: Across The Spider-Verse,Google Play Movies & TV,Subscription,tt9362722
Spider-Man: Across The Spider-Verse,Apple TV,Subscription,tt9362722
Grave Of The Fireflies,Netflix,Subscription,tt0095327
Whiplash,Not Available,Not Available,Not Available
American History X,Google Play Movies & TV,"From  28.000,00",tt0120586
Leon,Not Available,Not Available,Not Available
The Prestige,Max,Subscription,tt0482571
The Prestige,Apple TV,Subscription,tt0482571
Harakiri,Not Available,Not Available,Not Available
The Usual Suspects,Not Available,Not Available,Not Available
Untouchable,Not Available,Not Available,Not Available
Cinema Paradiso,Not Available,Not Available,Not Available
Modern Times,Not Available,Not Available,Not Available
Alien,Not Available,Not Available,Not Available
Rear Window,Not Available,Not Available,Not Available
Once Upon A Time In The West,Not Available,Not Available,Not Available
City Lights,Apple TV,"From  29.000,00",tt3709344
Apocalypse Now,Not Available,Not Available,Not Available
Memento,Not Available,Not Available,Not Available
Wall·E,Not Available,Not Available,Not Available
Raiders Of The Lost Ark,Google Play Movies & TV,"From  25.000,00",tt0082971
Raiders Of The Lost Ark,Apple TV,"From  25.000,00",tt0082971
The Lives Of Others,Not Available,Not Available,Not Available
12Th Fail,Netflix,Subscription,tt23849204
Sunset Blvd.,Google Play Movies & TV,"From  25.000,00",tt0043014
Avengers: Infinity War,Not Available,Not Available,Not Available
Spider-Man: Into The Spider-Verse,Max,Subscription,tt4633694
Spider-Man: Into The Spider-Verse,Vidio,Subscription,tt4633694
Spider-Man: Into The Spider-Verse,Google Play Movies & TV,Subscription,tt4633694
Spider-Man: Into The Spider-Verse,Apple TV,Subscription,tt4633694
Witness For The Prosecution,Apple TV,"From  25.000,00",tt0051201
The Shining,Max,Subscription,tt0081505
The Shining,Apple TV,Subscription,tt0081505
The Great Dictator,Not Available,Not Available,Not Available
Aliens,Not Available,Not Available,Not Available
Inglourious Basterds,Amazon Prime Video,Subscription,tt0361748
Inglourious Basterds,Apple TV,Subscription,tt0361748
Inglourious Basterds,Google Play Movies & TV,Subscription,tt0361748
The Dark Knight Rises,Max,Subscription,tt1345836
The Dark Knight Rises,Apple TV,Subscription,tt1345836
The Dark Knight Rises,Google Play Movies & TV,Subscription,tt1345836
Coco,Not Available,Not Available,Not Available
Amadeus,Apple TV,"From  25.000,00",tt0086879
Toy Story,Not Available,Not Available,Not Available
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,Apple TV,"From  25.000,00",tt0057012
Oldboy,Not Available,Not Available,Not Available
Avengers: Endgame,Not Available,Not Available,Not Available
Das Boot,Not Available,Not Available,Not Available
Good Will Hunting,Max,Subscription,tt0119217
Good Will Hunting,Apple TV,Subscription,tt0119217
Braveheart,Not Available,Not Available,Not Available
Princess Mononoke,Netflix,Subscription,tt0119698
High And Low,Netflix,Subscription,tt5659172
Once Upon A Time In America,Not Available,Not Available,Not Available
Singin' In The Rain,Not Available,Not Available,Not Available
Capernaum,Not Available,Not Available,Not Available
Come And See,Not Available,Not Available,Not Available
Requiem For A Dream,Apple TV,"From  25.000,00",tt0180093
Toy Story 3,Not Available,Not Available,Not Available
Star Wars: Episode Vi - Return Of The Jedi,Not Available,Not Available,Not Available
The Hunt,Netflix,Subscription,tt8244784
The Hunt,Apple TV,Subscription,tt8244784
The Hunt,Google Play Movies & TV,Subscription,tt8244784
Ikiru,Not Available,Not Available,Not Available
2001: A Space Odyssey,Google Play Movies & TV,"From  25.000,00",tt0062622
2001: A Space Odyssey,Apple TV,"From  25.000,00",tt0062622
Reservoir Dogs,Apple TV,"From  25.000,00",tt0105236
Lawrence Of Arabia,Netflix,Subscription,tt0056172
Lawrence Of Arabia,Google Play Movies & TV,Subscription,tt0056172
Lawrence Of Arabia,Apple TV,Subscription,tt0056172
The Apartment,Apple TV,"From  25.000,00",tt0053604
Incendies,Not Available,Not Available,Not Available
Scarface,Amazon Prime Video,Subscription,tt0086250
Scarface,Vidio,Subscription,tt0086250
North By Northwest,Google Play Movies & TV,"From  25.000,00",tt0053125
North By Northwest,Apple TV,"From  25.000,00",tt0053125
Double Indemnity,Not Available,Not Available,Not Available
Citizen Kane,Apple TV,"From  25.000,00",tt0033467
Citizen Kane,Google Play Movies & TV,"From  25.000,00",tt0033467
M,Not Available,Not Available,Not Available
Vertigo,Not Available,Not Available,Not Available
Heat,Vidio,Subscription,tt0113277
Full Metal Jacket,Google Play Movies & TV,"From  28.000,00",tt0093058
Oppenheimer,Max,Subscription,tt15398776
Oppenheimer,Apple TV,Subscription,tt15398776
Oppenheimer,Google Play Movies & TV,Subscription,tt15398776
Up,Not Available,Not Available,Not Available
Amélie,Not Available,Not Available,Not Available
A Clockwork Orange,Not Available,Not Available,Not Available
To Kill A Mockingbird,Not Available,Not Available,Not Available
A Separation,Not Available,Not Available,Not Available
The Sting,Not Available,Not Available,Not Available
Die Hard,Not Available,Not Available,Not Available
Indiana Jones And The Last Crusade,Google Play Movies & TV,"From  25.000,00",tt0097576
Indiana Jones And The Last Crusade,Apple TV,"From  25.000,00",tt0097576
Like Stars On Earth,Not Available,Not Available,Not Available
Metropolis,Not Available,Not Available,Not Available
Snatch,Vidio,Subscription,tt0208092
Snatch,Apple TV,Subscription,tt0208092
Snatch,Google Play Movies & TV,Subscription,tt0208092
1917,Not Available,Not Available,Not Available
L.A. Confidential,Vidio,Subscription,tt0119488
Bicycle Thieves,Not Available,Not Available,Not Available
Downfall,Not Available,Not Available,Not Available
Hamilton,Not Available,Not Available,Not Available
Taxi Driver,Apple TV,"From  25.000,00",tt0075314
Taxi Driver,Google Play Movies & TV,"From  25.000,00",tt0075314
Dangal,Not Available,Not Available,Not Available
The Wolf Of Wall Street,Not Available,Not Available,Not Available
Batman Begins,Netflix,Subscription,tt0372784
Batman Begins,Max,Subscription,tt0372784
Batman Begins,Apple TV,Subscription,tt0372784
Batman Begins,Google Play Movies & TV,Subscription,tt0372784
Green Book,Not Available,Not Available,Not Available
Some Like It Hot,Not Available,Not Available,Not Available
Judgment At Nuremberg,Not Available,Not Available,Not Available
The Kid,Not Available,Not Available,Not Available
The Father,Apple TV,"From  25.000,00",tt10272386
Shutter Island,Google Play Movies & TV,"From  25.000,00",tt1130884
Shutter Island,Apple TV,"From  25.000,00",tt1130884
All About Eve,Not Available,Not Available,Not Available
There Will Be Blood,Not Available,Not Available,Not Available
Jurassic Park,Amazon Prime Video,Subscription,tt0107290
Jurassic Park,Vidio,Subscription,tt0107290
Jurassic Park,Apple TV,Subscription,tt0107290
Jurassic Park,Google Play Movies & TV,Subscription,tt0107290
The Sixth Sense,Not Available,Not Available,Not Available
Ran,Not Available,Not Available,Not Available
Pan'S Labyrinth,Not Available,Not Available,Not Available
No Country For Old Men,Google Play Movies & TV,"From  25.000,00",tt0477348
No Country For Old Men,Apple TV,"From  25.000,00",tt0477348
The Thing,Not Available,Not Available,Not Available
A Beautiful Mind,Google Play Movies & TV,"From  25.000,00",tt0268978
A Beautiful Mind,Apple TV,"From  25.000,00",tt0268978
Kill Bill: Vol. 1,Not Available,Not Available,Not Available
The Wild Robot,Not Available,Not Available,Not Available
The Treasure Of The Sierra Madre,Apple TV,"From  25.000,00",tt0040897
Yojimbo,Not Available,Not Available,Not Available
Finding Nemo,Not Available,Not Available,Not Available
Monty Python And The Holy Grail,Apple TV,"From  25.000,00",tt0071853
The Elephant Man,Not Available,Not Available,Not Available
Rashomon,Not Available,Not Available,Not Available
Dial M For Murder,Not Available,Not Available,Not Available
Gone With The Wind,Google Play Movies & TV,"From  25.000,00",tt0031381
Chinatown,Not Available,Not Available,Not Available
The Secret In Their Eyes,Not Available,Not Available,Not Available
"Lock, Stock And Two Smoking Barrels",Not Available,Not Available,Not Available
Inside Out,Not Available,Not Available,Not Available
"Three Billboards Outside Ebbing, Missouri",Not Available,Not Available,Not Available
Raging Bull,Apple TV,"From  25.000,00",tt0081398
Raging Bull,Google Play Movies & TV,"From  25.000,00",tt0081398
Klaus,Netflix,Subscription,tt4729430
Trainspotting,Not Available,Not Available,Not Available
The Bridge On The River Kwai,Apple TV,"From  25.000,00",tt0050212
Catch Me If You Can,Vidio,Subscription,tt0264464
Catch Me If You Can,Google Play Movies & TV,Subscription,tt0264464
Catch Me If You Can,Apple TV,Subscription,tt0264464
Fargo,Apple TV,"From  25.000,00",tt0116282
Warrior,Apple TV,"From  25.000,00",tt1291584
Warrior,Google Play Movies & TV,"From  25.000,00",tt1291584
Spider-Man: No Way Home,Netflix,Subscription,tt10872600
Spider-Man: No Way Home,Google Play Movies & TV,Subscription,tt10872600
Spider-Man: No Way Home,Apple TV,Subscription,tt10872600
Harry Potter And The Deathly Hallows: Part 2,Max,Subscription,tt1201607
Harry Potter And The Deathly Hallows: Part 2,Google Play Movies & TV,Subscription,tt1201607
Harry Potter And The Deathly Hallows: Part 2,Apple TV,Subscription,tt1201607
Million Dollar Baby,Not Available,Not Available,Not Available
My Neighbour Totoro,Netflix,Subscription,tt0096283
Children Of Heaven,Apple TV,"From  25.000,00",tt0118849
Barry Lyndon,Google Play Movies & TV,"From  25.000,00",tt0072684
Barry Lyndon,Apple TV,"From  25.000,00",tt0072684
12 Years A Slave,Not Available,Not Available,Not Available
Blade Runner,Not Available,Not Available,Not Available
Before Sunrise,Google Play Movies & TV,"From  28.000,00",tt0112471
The Grand Budapest Hotel,Not Available,Not Available,Not Available
Dead Poets Society,Not Available,Not Available,Not Available
Gone Girl,Vidio,Subscription,tt2267998
Memories Of Murder,Not Available,Not Available,Not Available
In The Name Of The Father,Not Available,Not Available,Not Available
The Gold Rush,Not Available,Not Available,Not Available
Maharaja,Netflix,Subscription,tt26548265
"Monsters, Inc.",Not Available,Not Available,Not Available
Wild Tales,Not Available,Not Available,Not Available
Ratatouille,Not Available,Not Available,Not Available
The Deer Hunter,Not Available,Not Available,Not Available
Jaws,Netflix,Subscription,tt0073195
Jaws,Amazon Prime Video,Subscription,tt0073195
Sherlock Jr.,Not Available,Not Available,Not Available
The General,Not Available,Not Available,Not Available
Mary And Max,Not Available,Not Available,Not Available
On The Waterfront,Apple TV,"From  25.000,00",tt0047296
On The Waterfront,Google Play Movies & TV,"From  25.000,00",tt0047296
The Wages Of Fear,Netflix,Subscription,tt27487473
Le Mans '66,Not Available,Not Available,Not Available
Wild Strawberries,Not Available,Not Available,Not Available
Mr. Smith Goes To Washington,Apple TV,"From  25.000,00",tt0031679
The Third Man,Not Available,Not Available,Not Available
Logan,Not Available,Not Available,Not Available
Tokyo Story,Not Available,Not Available,Not Available
The Big Lebowski,Not Available,Not Available,Not Available
The Seventh Seal,Not Available,Not Available,Not Available
Room,Not Available,Not Available,Not Available
Spotlight,Not Available,Not Available,Not Available
The Terminator,Apple TV,"From  25.000,00",tt0088247
Hotel Rwanda,Not Available,Not Available,Not Available
Platoon,Apple TV,"From  25.000,00",tt0091763
Pirates Of The Caribbean: The Curse Of The Black Pearl,Not Available,Not Available,Not Available
La Haine,Not Available,Not Available,Not Available
Jai Bhim,Amazon Prime Video,Subscription,tt15097216
Before Sunset,Google Play Movies & TV,"From  28.000,00",tt0381681
The Passion Of Joan Of Arc,Not Available,Not Available,Not Available
The Best Years Of Our Lives,Not Available,Not Available,Not Available
The Exorcist,Google Play Movies & TV,"From  25.000,00",tt0070047
The Exorcist,Apple TV,"From  25.000,00",tt0070047
Rush,Not Available,Not Available,Not Available
A Man Escaped,Not Available,Not Available,Not Available
The Incredibles,Not Available,Not Available,Not Available
The Wizard Of Oz,Google Play Movies & TV,"From  25.000,00",tt0032138
The Wizard Of Oz,Apple TV,"From  25.000,00",tt0032138
Network,Apple TV,"From  25.000,00",tt0074958
Stand By Me,Netflix,Subscription,tt0092005
Stand By Me,Apple TV,Subscription,tt0092005
Hachi: A Dog'S Tale,Not Available,Not Available,Not Available
The Sound Of Music,Not Available,Not Available,Not Available
My Father And My Son,Not Available,Not Available,Not Available
To Be Or Not To Be,Not Available,Not Available,Not Available
The Handmaiden,Not Available,Not Available,Not Available
Into The Wild,Google Play Movies & TV,"From  25.000,00",tt0758758
Into The Wild,Apple TV,"From  25.000,00",tt0758758
The Battle Of Algiers,Not Available,Not Available,Not Available
The Iron Giant,Apple TV,"From  25.000,00",tt0129167
The Grapes Of Wrath,Not Available,Not Available,Not Available
Groundhog Day,Apple TV,"From  25.000,00",tt0107048
Groundhog Day,Google Play Movies & TV,"From  25.000,00",tt0107048
Amores Perros,Not Available,Not Available,Not Available
Rebecca,Netflix,Subscription,tt2235695
The Help,Not Available,Not Available,Not Available
Cool Hand Luke,Apple TV,"From  25.000,00",tt0061512
Cool Hand Luke,Google Play Movies & TV,"From  25.000,00",tt0061512
A Silent Voice,Netflix,Subscription,tt5323662
"Paris, Texas",Not Available,Not Available,Not Available
